Input Size    Execution Time in Microseconds
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
10    0
100    3
100    4
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
100    3
1000    44
1000    43
1000    44
1000    45
1000    43
1000    45
1000    45
1000    45
1000    44
1000    44
1000    43
1000    44
1000    43
1000    43
1000    43
1000    42
1000    47
1000    43
1000    43
1000    44
1000    42
1000    43
1000    43
1000    41
1000    44
